Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1774.057598834086
FDW14,OUT017,1399.2367982958967
NCN55,OUT010,1870.4538472999993
FDQ58,OUT017,2616.9284420949407
FDY38,OUT027,5145.903947064304
FDH56,OUT046,2064.644661660117
FDL48,OUT018,600.4699626560614
FDC48,OUT027,2800.8388518340216
FDN33,OUT045,1518.1402137332043
FDA36,OUT017,3157.3917214062385
FDT44,OUT017,2074.9164348540944
FDQ56,OUT045,1376.9920987764344
NCC54,OUT019,1879.3361935935827
FDU11,OUT049,2046.5736055542075
DRL59,OUT013,843.9146047968243
FDM24,OUT049,2569.0164597259864
FDI57,OUT045,3338.703967773821
DRC12,OUT018,2685.0706324976927
NCM42,OUT027,3188.5104162703065
FDA46,OUT010,1150.8825150048942
FDA31,OUT013,2879.2708962401084
NCJ31,OUT035,3796.2759362595243
FDG52,OUT046,770.2260335618921
NCL19,OUT019,323.3273696208489
FDS10,OUT035,2950.3263650588924
FDX22,OUT010,1498.8627737373608
NCF19,OUT035,871.5675703160377
NCE06,OUT046,2617.0262086783478
DRC27,OUT046,3883.9886844310095
FDE21,OUT035,1984.2337165653007
NCR42,OUT019,-1374.9761263300024
FDX51,OUT018,2887.785936620625
NCR06,OUT018,403.13872844554135
FDU31,OUT027,5015.725912861992
FDU59,OUT017,2773.7418755594117
FDR03,OUT027,4782.16321799795
FDS49,OUT027,2753.1430573213875
FDD48,OUT010,-15.810010826971848
NCF18,OUT017,3136.0846139993373
NCD43,OUT027,3092.8451203509467
NCD54,OUT018,1952.228771434311
FDY19,OUT010,-22.9969024554739
NCY54,OUT017,2857.991333189275
NCL19,OUT018,1962.6185534558754
FDP23,OUT010,1587.972546155026
FDC26,OUT013,1832.7990639310156
FDR14,OUT010,-1050.929081571303
NCS41,OUT035,3010.4031233964633
FDF41,OUT035,3974.150182439611
FDU34,OUT046,2039.1301644564082
DRH11,OUT046,1022.7748410243803
FDM03,OUT013,1758.3482483798289
FDS31,OUT017,3126.0743805047096
FDJ20,OUT017,2180.9507915325376
FDV44,OUT027,4559.994314600684
FDG02,OUT049,3081.4356638559548
FDA09,OUT013,2941.7668315842166
FDT04,OUT013,575.5377292373596
FDL58,OUT019,2288.011344805098
FDE52,OUT045,1402.910500483791
FDW12,OUT035,2508.591782774718
FDL51,OUT017,3528.799260880667
NCY42,OUT027,3684.8134360895638
FDR07,OUT017,1732.7400821636256
FDN40,OUT045,2336.7514415879414
FDB35,OUT027,2947.1748576225655
FDA22,OUT017,2808.4497227707034
NCL06,OUT046,4177.23897653124
FDI35,OUT013,2899.77465910351
NCW42,OUT045,3394.88627439407
NCX06,OUT049,2888.6414704816707
FDC37,OUT027,3220.5203806721547
FDZ14,OUT018,1687.1183405967313
DRG49,OUT049,3882.9063520454365
NCG06,OUT045,3945.134536629077
DRC36,OUT045,2680.965328381528
FDV21,OUT019,42.3226390916534
FDB53,OUT046,2383.079787977069
DRP47,OUT019,2054.4057755003014
FDA14,OUT013,2239.9436930649827
DRC24,OUT035,2465.9436435993557
FDW21,OUT018,1399.5260555186542
NCH29,OUT046,1657.932921450716
FDU58,OUT013,3092.896419380384
FDY27,OUT017,2931.0595594542683
FDV56,OUT035,1966.6999943065603
FDT59,OUT046,3682.1747879902687
FDB23,OUT046,3669.121196350665
FDR49,OUT045,698.3937028224027
FDB03,OUT010,1900.3652966769005
FDN39,OUT045,2634.833194398234
FDX02,OUT027,4932.438499552343
FDQ16,OUT027,3149.0357577667455
FDU35,OUT018,1336.4817940985959
NCT29,OUT013,1989.3522730921104
FDZ27,OUT046,841.6463277312287
FDN57,OUT017,2354.510935241662
FDA03,OUT018,2023.740697248577
FDZ36,OUT045,2972.112092062991
NCU05,OUT013,1353.355683259928
FDT39,OUT018,2214.983035962505
FDK60,OUT017,1768.4476570800907
FDZ25,OUT017,2883.854152662985
FDG12,OUT046,1958.6518328540114
DRB01,OUT019,1102.860001464389
NCC43,OUT027,5372.84631311729
FDX13,OUT019,2030.3609735179489
FDM22,OUT049,982.0013446129742
FDJ03,OUT027,2264.9096344458667
FDU14,OUT018,3606.052260396391
FDB33,OUT010,705.6118550849351
FDP27,OUT046,3110.8090567482577
FDO38,OUT010,-652.8993061446236
FDE28,OUT027,5121.683706767144
FDO27,OUT035,1705.6326214235887
DRL23,OUT027,3180.396186584112
FDS28,OUT046,1015.1170216274186
FDX24,OUT013,1577.8380949336279
FDZ02,OUT035,1679.9889159225713
FDL46,OUT045,1775.7335380403092
FDS60,OUT027,4321.096012517228
NCO06,OUT017,649.1108134663227
FDO16,OUT035,1464.0345518401737
FDC60,OUT049,1561.1116995141783
FDA48,OUT018,3210.8533382042806
FDZ36,OUT027,4500.226483390201
FDK27,OUT045,1896.7189617707336
FDW23,OUT018,404.27830659312895
FDM14,OUT018,1486.8797223943984
FDM14,OUT013,1785.2998353701405
FDW60,OUT018,2639.3482353947184
FDE21,OUT013,1970.0407554787525
NCM42,OUT035,1853.0935422197217
FDY59,OUT010,-323.89679363508185
DRI49,OUT049,1287.7155001133651
FDT28,OUT019,467.43130191837554
FDQ22,OUT018,361.8405788445234
FDR60,OUT049,1260.7602088018612
FDC50,OUT019,-454.94601810937456
FDV24,OUT013,2490.3042656156176
DRF48,OUT010,1074.4069846582133
FDQ47,OUT046,748.8981316944992
DRN36,OUT049,1604.268879055002
NCY06,OUT035,2123.8021371903596
FDE52,OUT035,1566.8522645334015
NCB54,OUT045,1969.335316350829
NCF31,OUT035,2514.86306789206
FDJ08,OUT027,4509.11824275041
NCC07,OUT017,1804.4747788942186
NCD19,OUT027,2319.4223959667142
FDL46,OUT049,1949.4157731975574
FDM20,OUT045,3890.249953626553
NCI06,OUT010,955.9100101167278
DRM11,OUT035,4212.169610477897
NCH07,OUT018,2193.6378546572523
FDS23,OUT013,2124.6825285645464
FDO49,OUT018,578.0571982198162
FDS35,OUT049,1142.5674427959166
DRK39,OUT045,1234.9462676274998
DRI39,OUT049,962.4881259554386
FDV04,OUT017,2662.985418701457
NCN14,OUT035,2920.562186360272
FDH08,OUT013,3771.8320750922576
FDS20,OUT046,3043.160095990839
FDV40,OUT049,1249.749136071172
FDZ48,OUT010,-103.24663265202253
FDS24,OUT027,2945.8074829773104
FDK44,OUT049,2868.4093913437828
FDS48,OUT045,2360.6075906971237
FDK26,OUT010,1161.4862423675804
FDD23,OUT045,2969.6395622333803
NCH54,OUT017,2619.3203636464896
NCP14,OUT010,-211.04147428770375
FDM60,OUT010,-1133.1495344255673
FDV24,OUT017,2583.2938393404474
FDH08,OUT018,3407.913796196939
FDS12,OUT027,3495.0584597090638
FDR39,OUT027,4332.246495523854
FDP12,OUT027,2152.964001506247
DRF60,OUT027,5125.618456866054
FDC09,OUT035,1868.4708690780535
FDF50,OUT018,2908.0621419561066
FDG28,OUT035,3984.9199797745678
NCE19,OUT017,1027.0033354964835
NCM53,OUT010,-163.27845033995982
NCN18,OUT049,1834.7166143023496
FDF32,OUT035,3308.157632710834
FDF11,OUT013,3874.348820138999
DRI59,OUT049,3636.3283171519724
NCG54,OUT035,2765.6381040593405
FDM44,OUT046,1766.0452712472324
FDT57,OUT018,3434.1915892189863
FDV24,OUT046,2512.553975644565
FDI50,OUT019,1765.5920774212136
FDS09,OUT035,999.1791846853448
NCC31,OUT027,3890.479828153446
FDQ07,OUT019,1664.3975008104171
FDC22,OUT017,3220.8688560944865
FDZ56,OUT046,2817.621559875057
FDZ40,OUT019,-1042.1428925862565
FDS46,OUT027,3391.075704728675
DRD24,OUT045,2112.6723933065077
FDV45,OUT017,3120.071287265251
FDL26,OUT045,2397.833004648637
FDA56,OUT018,1756.3748440115014
FDN27,OUT046,1966.2292525950616
FDM20,OUT049,4002.9978790093155
FDO16,OUT017,1470.4636122943775
FDL03,OUT035,3267.9965569013148
FDE58,OUT046,1920.1678812620376
FDI02,OUT027,3295.8870591425366
NCC55,OUT019,-1331.809819017566
FDR03,OUT018,3044.734850852343
FDB14,OUT017,1661.9139817788819
FDR45,OUT013,3790.362862408947
NCN07,OUT017,2149.1216167612
FDM51,OUT019,-174.23785741213942
FDT52,OUT027,5339.2876408805605
FDL26,OUT046,2512.9734812757088
NCZ42,OUT046,3831.120127522343
DRI47,OUT019,431.29200322923134
FDW40,OUT013,2293.725276056386
FDN34,OUT046,2804.9429105393065
FDS01,OUT035,2949.9193666951323
NCG55,OUT045,1759.5295749978395
FDC11,OUT035,1466.540607240764
FDX35,OUT018,3372.2531188248104
NCB06,OUT046,2601.6167538837617
FDR09,OUT019,2181.198230503258
FDC53,OUT017,1684.081797007093
FDY45,OUT013,4057.0025910718396
FDA22,OUT010,780.4119202438014
FDE02,OUT035,1640.1275175567425
FDW21,OUT045,1623.804960525129
FDV34,OUT046,1323.577479352345
FDS59,OUT049,1880.2919024710282
NCW17,OUT017,2176.068738472808
NCK54,OUT046,1925.489147151704
FDG17,OUT019,1980.3345363548142
FDG35,OUT017,2917.095584329756
FDD08,OUT010,-1168.1795829648036
NCO07,OUT017,3442.0220889860357
FDJ10,OUT010,247.91222099067818
FDW36,OUT017,1842.7401639699092
FDW21,OUT010,-181.059729788627
FDY19,OUT017,2075.238496269507
DRE03,OUT013,763.7595643981185
NCC55,OUT049,682.5889300255803
FDH52,OUT010,-814.3128659343929
FDO09,OUT017,4342.5179479285
FDU43,OUT045,3811.4058898384537
FDX09,OUT010,888.6500686993386
FDH40,OUT019,-547.5293945978774
FDW58,OUT017,1797.3760279008566
FDC47,OUT017,3703.5157369338995
NCR41,OUT035,1566.2094612114743
DRG49,OUT035,3916.9611983797804
FDC52,OUT027,3890.336380370034
FDY13,OUT046,1292.7386416612135
FDY35,OUT013,839.2082667725044
FDI35,OUT017,3008.4399952919775
NCU18,OUT049,2283.830791139466
FDY33,OUT018,2261.408997598104
FDC15,OUT027,3884.784629450398
FDU01,OUT049,3070.574491635838
NCU42,OUT046,2751.2196526844928
NCV29,OUT018,2537.514456287332
NCY30,OUT017,3000.1138154866203
FDQ46,OUT049,1853.4044936727878
FDG58,OUT027,3935.3778438562003
FDK33,OUT017,3500.1537480022816
NCD07,OUT045,1764.695837982552
NCX29,OUT027,3744.3682066156034
NCT42,OUT013,2395.3424582284497
DRN59,OUT035,864.0898666542635
FDI44,OUT035,1429.2430588294083
FDA45,OUT049,2840.087737016889
FDP31,OUT045,1076.7801337450219
FDY01,OUT046,1951.4019298346248
FDT09,OUT018,1876.4871934230614
DRH03,OUT027,2942.8809826053184
FDA36,OUT018,2725.316667461084
NCF31,OUT017,2561.792271698534
FDG14,OUT049,2538.7637394451303
FDG28,OUT027,5348.268621889307
FDU14,OUT049,3957.811439011217
FDY47,OUT019,260.6020269949804
FDI56,OUT049,1587.511773806269
DRD01,OUT013,958.4711752138683
FDM22,OUT046,1025.677662439106
FDH33,OUT013,722.1093765129481
DRZ24,OUT013,1878.74077434621
NCQ38,OUT046,1702.5281551394874
FDO16,OUT027,2783.8304700194276
FDU07,OUT027,3887.127225190692
NCB07,OUT013,3072.36807931964
FDU48,OUT045,2054.316406322643
NCM43,OUT045,2501.214209932805
FDR31,OUT010,546.3692580524512
DRK49,OUT018,338.1129486053105
NCI30,OUT010,1932.7812166355143
DRD60,OUT017,2946.948926306766
NCG19,OUT046,3724.101191425929
FDH12,OUT035,1767.6264856044872
FDM32,OUT035,1632.0763048567023
FDM27,OUT035,2641.7250852929865
NCU53,OUT027,4095.7494803937734
NCQ18,OUT046,1613.8728727944253
FDS10,OUT013,2858.97376778553
FDB33,OUT027,4024.013915509815
FDI12,OUT013,1506.9825980856403
NCW42,OUT013,3498.679025677775
NCC06,OUT018,1727.7970962577092
FDW02,OUT017,2179.619511031153
NCD43,OUT017,1804.0627429764281
FDM57,OUT018,1094.7944346687727
FDA58,OUT017,3870.2626434483245
FDK56,OUT046,3059.2921879230416
FDP52,OUT045,3600.6265891434596
FDW20,OUT018,1686.0392138651368
FDS52,OUT049,1661.9274392423395
NCT29,OUT018,1625.3873278428073
NCL54,OUT013,2808.065506408966
FDC05,OUT045,3080.6027001984476
FDF34,OUT035,3282.440209691398
FDP03,OUT027,3513.744472966602
FDD32,OUT010,-432.11124181402556
FDZ10,OUT045,1957.42412491492
FDZ40,OUT035,975.0231669717614
FDD51,OUT018,385.15709558570234
NCY30,OUT019,929.6994009998598
FDP58,OUT017,3510.5057364056993
FDV49,OUT017,4326.98267236253
FDY24,OUT019,-982.2837576661404
NCO55,OUT017,1795.146047449729
FDR13,OUT017,2076.9858579846623
FDS51,OUT017,1179.387258117713
FDP26,OUT045,1561.0504844328389
NCB54,OUT027,3515.6362134932424
FDF32,OUT017,3311.404831484615
FDN31,OUT018,2768.6425789247005
DRM48,OUT017,670.3257225044072
FDN20,OUT049,2798.2935256939672
DRL01,OUT046,3740.5937283829553
FDV56,OUT049,1898.3579047407402
DRH13,OUT027,3123.967403679824
FDA03,OUT017,2452.6841527189827
FDF47,OUT027,4969.0332971550815
FDX32,OUT046,2501.823320055759
